,name,time_elapsed,best_score,test_score,model__max_depth,model__max_features,model__max_samples,model__min_samples_leaf,model__n_estimators
0,mfeat-karhunen,2501.0237901210785,0.9531196988103446,0.975,63,0.09281042472342405,0.712823381027602,2,800
1,mfeat-morphological,837.5361292362213,0.7275174836654955,0.705,15,0.7110227125802553,0.3440084834557343,2,150
2,mfeat-zernike,2232.0166420936584,0.7756427093935712,0.8,39,0.30976532737962115,0.9679289767656533,2,400
3,cmc,799.5645904541016,0.5739091494586,0.5288135593220339,57,0.9493578177932758,0.9905088937191575,7,400
4,credit-g,800.878696680069,0.7849841996295085,0.73,30,0.18027500168772026,0.7657669855966756,2,600
5,diabetes,727.2916648387909,0.7850798626660696,0.7662337662337663,54,0.8990894910636485,0.43711083319194444,14,50
6,splice,2522.983603000641,0.9651297821552225,0.9717868338557993,60,0.06521416111188016,0.6014451679641605,3,800
7,tic-tac-toe,732.7812864780426,0.9869414988681046,0.984375,9,0.40483658622961494,0.870049050698337,1,100
8,vehicle,775.2201387882233,0.7618433971526756,0.7647058823529411,57,0.23122730057666674,0.8362875163874699,1,150
9,vowel,840.55677485466,0.9646128595825848,0.9545454545454546,57,0.23122730057666674,0.8362875163874699,1,150
10,analcatdata_authorship,894.8511066436768,0.9910714285714285,1.0,63,0.09281042472342405,0.712823381027602,2,800
11,analcatdata_dmft,736.9325487613678,0.24332810047095763,0.19375,9,0.20252800362437273,0.16641620707278315,11,150
12,pc4,901.6712634563446,0.9091077741247282,0.9041095890410958,63,0.7515616185109545,0.3848691020257893,3,250
13,pc3,998.2939651012421,0.9007998780454998,0.9073482428115016,18,0.8472172593997045,0.8142786796197208,1,600
14,kc2,668.8348143100739,0.8660613397901534,0.780952380952381,24,0.9783958904772168,0.9098235470236209,38,750
15,kc1,929.8478932380676,0.8630705394190871,0.8625592417061612,60,0.712045810585867,0.8994539544194741,3,300
16,pc1,811.0410380363464,0.9391593907904369,0.9369369369369369,6,0.9250185918976084,0.40978494400432064,1,450
17,wdbc,718.8587119579315,0.964835164835165,0.9210526315789473,54,0.00033808038531524254,0.5589506511232164,2,600
18,phoneme,1235.539915561676,0.9028530516548017,0.9158186864014801,18,0.6727632084935772,0.8538336836380145,1,200
19,qsar-biodeg,871.7777972221375,0.8625442739079104,0.8862559241706162,63,0.19024256112921367,0.5496529972347802,2,50
20,wall-robot-navigation,2327.6260561943054,0.9954172031820506,0.9981684981684982,18,0.6727632084935772,0.8538336836380145,1,200
21,ilpd,665.5712864398956,0.7338308457711442,0.6752136752136753,21,0.5237291941444073,0.9287467528197925,2,50
22,ozone-level-8hr,2204.7288641929626,0.9457275810932894,0.9428007889546351,30,0.4094107444628001,0.7935453249664237,2,250
23,banknote-authentication,770.4321737289429,0.9936189076316465,0.9927272727272727,24,0.9360322048719596,0.8030276421809801,1,650
24,blood-transfusion-service-center,720.8655445575714,0.7959742036349423,0.8066666666666666,27,0.9907878615970517,0.8791703266842945,7,50
25,steel-plates-fault,1254.218371629715,0.7951134715840598,0.7866323907455013,66,0.8408816730319885,0.8742480468493441,1,250
26,climate-model-simulation-crashes,680.1386651992798,0.9260028707411044,0.9537037037037037,54,0.9445876338755729,0.9922171520706776,2,750
27,wilt,1055.7747271060944,0.9852751227073108,0.9834710743801653,45,0.7616922812972842,0.7853926062321681,2,750
28,car,806.7540221214294,0.9768607027490276,0.976878612716763,24,0.9360322048719596,0.8030276421809801,1,650
29,segment,1093.284524679184,0.9345238095238094,0.9458874458874459,57,0.23122730057666674,0.8362875163874699,1,150
30,churn,2236.365590572357,0.9532503398527916,0.949,39,0.3430487960223866,0.8707300825738802,2,450
31,kr-vs-kp,1033.8313691616058,0.9937388384502689,0.9984375,18,0.8472172593997045,0.8142786796197208,1,600
32,balance-scale,650.924103975296,0.9060473954840151,0.912,48,0.5104373763993989,0.12849584696643235,1,150
33,mfeat-fourier,2966.575175523758,0.8362281248973965,0.825,30,0.18027500168772026,0.7657669855966756,2,600
34,letter,2763.8100378513336,0.9594372366473883,0.968,57,0.23122730057666674,0.8362875163874699,1,150
35,mfeat-factors,3951.140656232834,0.9625072506593996,0.965,21,0.02737871643436396,0.7245363404830639,2,550
36,optdigits,1723.7415466308594,0.9810945438915962,0.9777580071174378,57,0.23122730057666674,0.8362875163874699,1,150
37,pendigits,1901.3377788066864,0.9902193756818052,0.9909049567985448,57,0.23122730057666674,0.8362875163874699,1,150
38,spambase,1440.6385934352875,0.9494596621918729,0.9446254071661238,39,0.10239581049528101,0.45794839685519917,1,400
39,electricity,7695.629456281662,0.9187565804146447,0.9213284784287763,66,0.8408816730319885,0.8742480468493441,1,250
40,satimage,2023.115245103836,0.9162129312604762,0.8981337480559876,57,0.23122730057666674,0.8362875163874699,1,150
